GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06037106642,06,037,31080.0,27688.370604097712,Los Angeles,Los Angeles County,Los Angeles
06037106643,06,037,31080.0,27848.32197126855,Los Angeles,Los Angeles County,Los Angeles
06037106645,06,037,31080.0,28329.587567371185,Los Angeles,Los Angeles County,Los Angeles
06037106646,06,037,31080.0,27150.217493461743,Los Angeles,Los Angeles County,Los Angeles
06037106648,06,037,31080.0,29399.965344078853,Los Angeles,Los Angeles County,Los Angeles
06037106649,06,037,31080.0,28867.09265747627,Los Angeles,Los Angeles County,Los Angeles
06037107010,06,037,31080.0,30596.706115073914,Los Angeles,Los Angeles County,Los Angeles
06037107020,06,037,31080.0,30014.899543162534,Los Angeles,Los Angeles County,Los Angeles
06037108101,06,037,31080.0,26502.430810108035,Los Angeles,Los Angeles County,Los Angeles
06037108102,06,037,31080.0,26540.0357459736,Los Angeles,Los Angeles County,Los Angeles
06037108103,06,037,31080.0,27303.332273033637,Los Angeles,Los Angeles County,Los Angeles
06037108104,06,037,31080.0,28126.478437193935,Los Angeles,Los Angeles County,Los Angeles
06037108202,06,037,37100.0,27216.21799989519,Los Angeles,Los Angeles County,Los Angeles
06037108203,06,037,,27914.8648021498,Los Angeles,Los Angeles County,Los Angeles
06037108204,06,037,,26554.05076760008,Los Angeles,Los Angeles County,Los Angeles
06037109100,06,037,31080.0,27514.282124045196,Los Angeles,Los Angeles County,Los Angeles
06037109200,06,037,31080.0,27272.95541083608,Los Angeles,Los Angeles County,Los Angeles
06037109300,06,037,31080.0,26472.91915516436,Los Angeles,Los Angeles County,Los Angeles
06037109400,06,037,31080.0,26819.13307215982,Los Angeles,Los Angeles County,Los Angeles
06037109500,06,037,31080.0,27704.503692950384,Los Angeles,Los Angeles County,Los Angeles
06037109601,06,037,31080.0,25885.548670240143,Los Angeles,Los Angeles County,Los Angeles
06037109603,06,037,31080.0,24955.760578292127,Los Angeles,Los Angeles County,Los Angeles
06037109604,06,037,31080.0,25795.01356891166,Los Angeles,Los Angeles County,Los Angeles
06037109700,06,037,31080.0,25463.39995243458,Los Angeles,Los Angeles County,Los Angeles
06037109800,06,037,31080.0,24561.877548860415,Los Angeles,Los Angeles County,Los Angeles
06037111100,06,037,31080.0,25884.33852384285,Los Angeles,Los Angeles County,Los Angeles
06037111201,06,037,31080.0,26387.595959528648,Los Angeles,Los Angeles County,Los Angeles
06037111202,06,037,31080.0,25632.697692591748,Los Angeles,Los Angeles County,Los Angeles
06037111204,06,037,31080.0,24537.635009830912,Los Angeles,Los Angeles County,Los Angeles
06037111205,06,037,31080.0,23725.78609769083,Los Angeles,Los Angeles County,Los Angeles
06037111206,06,037,31080.0,25279.63506421551,Los Angeles,Los Angeles County,Los Angeles
06037111302,06,037,31080.0,24058.329647830866,Los Angeles,Los Angeles County,Los Angeles
06037111303,06,037,,24856.984947289577,Los Angeles,Los Angeles County,Los Angeles
06037111304,06,037,,24651.795991649986,Los Angeles,Los Angeles County,Los Angeles
06037111401,06,037,,24288.750000686607,Los Angeles,Los Angeles County,Los Angeles
06037111402,06,037,,25094.5772415856,Los Angeles,Los Angeles County,Los Angeles
06037113101,06,037,37100.0,24785.694478087124,Los Angeles,Los Angeles County,Los Angeles
06037113102,06,037,37100.0,24820.789017140138,Los Angeles,Los Angeles County,Los Angeles
06037113211,06,037,37100.0,25201.55176090206,Los Angeles,Los Angeles County,Los Angeles
06037113212,06,037,37100.0,24481.894649320864,Los Angeles,Los Angeles County,Los Angeles
06037113213,06,037,37100.0,23736.574560977388,Los Angeles,Los Angeles County,Los Angeles
06037113231,06,037,37100.0,20862.064246838105,Los Angeles,Los Angeles County,Los Angeles
06037113232,06,037,37100.0,20730.66753227333,Los Angeles,Los Angeles County,Los Angeles
06037113234,06,037,37100.0,20590.003717183878,Los Angeles,Los Angeles County,Los Angeles
06037113235,06,037,37100.0,22140.648342183486,Los Angeles,Los Angeles County,Los Angeles
06037113237,06,037,37100.0,22761.40755888272,Los Angeles,Los Angeles County,Los Angeles
06037113238,06,037,,20424.55127927749,Los Angeles,Los Angeles County,Los Angeles
06037113239,06,037,,21301.379935271972,Los Angeles,Los Angeles County,Los Angeles
06037113301,06,037,37100.0,22491.30270711268,Los Angeles,Los Angeles County,Los Angeles
06037113303,06,037,37100.0,22450.106606244193,Los Angeles,Los Angeles County,Los Angeles
06037113322,06,037,37100.0,23531.429326588543,Los Angeles,Los Angeles County,Los Angeles
06037113323,06,037,,23609.91359323822,Los Angeles,Los Angeles County,Los Angeles
06037113324,06,037,,23567.619437022895,Los Angeles,Los Angeles County,Los Angeles
06037113423,06,037,,20269.477243138343,Los Angeles,Los Angeles County,Los Angeles
06037113424,06,037,,20751.289114876756,Los Angeles,Los Angeles County,Los Angeles
06037113425,06,037,,21170.9844768836,Los Angeles,Los Angeles County,Los Angeles
06037113426,06,037,,21310.810798242044,Los Angeles,Los Angeles County,Los Angeles
06037113427,06,037,,20493.11005832106,Los Angeles,Los Angeles County,Los Angeles
06037113428,06,037,,20268.343279354056,Los Angeles,Los Angeles County,Los Angeles
